source,year,uer
1,1921,0.053738318
1,1922,0.046605779
1,1923,0.034102469
1,1924,0.045794393
1,1925,0.044859813
1,1926,0.032308681
1,1927,0.019242912
1,1928,0.021132999
1,1929,0.038738955
1,1930,0.092187755
1,1931,0.112616822
1,1932,0.169445508
1,1933,0.185723156
1,1934,0.144392523
1,1935,0.139444078
1,1936,0.124795172
1,1937,0.09471882
1,1938,0.108590274
1,1939,0.112616822
1,1940,0.088562175
1,1941,0.044639073
1,1942,0.032242991
1,1943,0.018224299
1,1944,0.01559453
1,1945,0.017546552
1,1946,0.026168224
1,1947,0.021083391
1,1948,0.016848661
1,1949,0.020861882
1,1950,0.022891294
1,1951,0.01559453
1,1952,0.018683217
1,1953,0.017844908
1,1954,0.03411215
1,1955,0.025604779
1,1956,0.020565451
1,1957,0.028946595
1,1958,0.051869159
1,1959,0.038317757
1,1960,0.044827193
1,1961,0.052336449
1,1962,0.045224968
1,1963,0.043457944
1,1964,0.040186916
1,1965,0.033836441
1,1966,0.028504673
1,1967,0.034406501
1,1968,0.043457944
1,1969,0.043457944
1,1970,0.055802743
1,1971,0.059345794
1,1972,0.059813084
1,1973,0.051869159
1,1974,0.046261682
1,1975,0.062035396
1,1976,0.064420146
1,1977,0.070093458
1,1978,0.075700935
1,1979,0.06682243
1,1980,0.071962617
1,1981,0.06674789
1,1982,0.099478819
1,1983,0.111214953
1,1984,0.105140187
1,1985,0.097196262
1,1986,0.089252336
1,1987,0.080373832
1,1988,0.06682243
1,1989,0.06588785
1,1990,0.06588785
1,1991,0.093457944
1,1992,0.102803738
2,1946,0.034
2,1947,0.022
2,1948,0.023
2,1949,0.028
2,1950,0.036
2,1951,0.024
2,1952,0.029
2,1953,0.03
2,1954,0.046
2,1955,0.044
2,1956,0.034
2,1957,0.046
2,1958,0.07
2,1959,0.06
2,1960,0.07
2,1961,0.071
2,1962,0.059
2,1963,0.055
2,1964,0.047
2,1965,0.039
2,1966,0.034
2,1967,0.038
2,1968,0.045
2,1969,0.044
2,1970,0.057
2,1971,0.062
2,1972,0.062
2,1973,0.055
2,1974,0.053
2,1975,0.069
2,1976,0.071
2,1977,0.08
2,1978,0.084
2,1979,0.075
2,1980,0.075
2,1981,0.076
2,1982,0.11
2,1983,0.12
2,1984,0.113
2,1985,0.105
2,1986,0.096
2,1987,0.088
2,1988,0.078
2,1989,0.075
2,1990,0.081
2,1991,0.103
2,1992,0.112
2,1993,0.114
2,1994,0.104
2,1995,0.095
2,1996,0.096
2,1997,0.091
2,1998,0.083
2,1999,0.076
2,2000,0.068
2,2001,0.072
2,2002,0.077
2,2003,0.076
2,2004,0.072
2,2005,0.068
2,2006,0.063
2,2007,0.06
2,2008,0.061
2,2009,0.083
2,2010,0.081
2,2011,0.075
2,2012,0.073
2,2013,0.071
2,2014,0.069
2,2015,0.069
